tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
44702,Permitted Site,Tree(s) ::,,86,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
46294,Permitted Site,Robinia x ambigua :: Locust,,17,Sidewalk: Curb side : Cutout,Tree,Private,,2002-01-31 12:00:00.000000 UTC,,,Permit Number 44564,,,,,
61641,Permitted Site,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1985-11-05 12:00:00.000000 UTC,,,Permit Number 21627,,,,,
36836,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,,2,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-26 12:00:00.000000 UTC,,,Permit Number 39538,,,,,
48116,Permitted Site,Tree(s) ::,,283,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48087,Permitted Site,Tree(s) ::,,197,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
46005,Permitted Site,Tree(s) ::,,191,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48224,Permitted Site,Tree(s) ::,,6,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
47478,Permitted Site,Lophostemon confertus :: Brisbane Box,,4,Sidewalk: Curb side : Cutout,Tree,Private,,2002-05-14 12:00:00.000000 UTC,,,Permit Number 45375,,,,,
46300,Permitted Site,Robinia x ambigua :: Locust,,2,Sidewalk: Curb side : Cutout,Tree,Private,,2002-01-31 12:00:00.000000 UTC,,,Permit Number 44564,,,,,
30481,Permitted Site,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1956-09-05 12:00:00.000000 UTC,,,Permit Number 147,,,,,
48223,Permitted Site,Tree(s) ::,,5,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48195,Permitted Site,Tree(s) ::,,37,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
45013,Permitted Site,Tree(s) ::,,85,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44657,Permitted Site,Tree(s) ::,,67,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
